season,team,epa_per_play
2021,NE,0.043024911528312594
2022,NE,-0.07241906904141783
2023,NE,-0.18933999070719196
2024,NE,-0.06434961401759545
2011,NO,0.1590035041637877
2012,NO,0.07116627885421731
2013,NO,0.06529576126692235
2014,NO,0.04557457263683861
2015,NO,0.02743177424544561
2016,NO,0.04830386416906331
2017,NO,0.06522410728659457
2018,NO,0.10102440900166804
2019,NO,0.039334127146743406
2020,NO,0.043926853061055385
2021,NO,-0.08774253029453867
2022,NO,-0.05589094028894553
2023,NO,-0.04496119852592342
2024,NO,-0.050515645422820714
2011,NYG,0.060688734089569735
2012,NYG,0.09036779139449581
2013,NYG,-0.11196741929243663
2014,NYG,-0.027973997463209256
2015,NYG,0.031375939487758624
2016,NYG,-0.07370731463245857
2017,NYG,-0.13817472172204223
2018,NYG,0.011971043587367594
2019,NYG,-0.0708062832237566
2020,NYG,-0.04890843291974184
2021,NYG,-0.1251044301594261
2022,NYG,0.027660450798513016
2023,NYG,-0.15029285807878673
2024,NYG,-0.08288747179105055
2011,NYJ,-0.0431127419578001
2012,NYJ,-0.09008287930737316
2013,NYJ,-0.07225693127281348
2014,NYJ,-0.06399821198494415
2015,NYJ,-0.01854812793405598
2016,NYJ,-0.09580435052522207
2017,NYJ,-0.0764046229327772
2018,NYJ,-0.10235622426285236
2019,NYJ,-0.13256721519005593
2020,NYJ,-0.13135167426615152
2021,NYJ,-0.07364452993827564
2022,NYJ,-0.08863756357405982
2023,NYJ,-0.18433209474575954
2024,NYJ,-0.004300896350247287
2011,PHI,0.021608424345454715
2012,PHI,-0.07157276409469343
2013,PHI,0.06695273415691678
2014,PHI,-0.014510743639088957
2015,PHI,-0.040418295996039064
2016,PHI,-0.012903095142096494
2017,PHI,0.06468515916839003
2018,PHI,0.017055376916576298
2019,PHI,-0.005377182376615115
2020,PHI,-0.06431854365636606
2021,PHI,0.03159739480794194
2022,PHI,0.06949111573024147
2023,PHI,0.043068446168446205
2024,PHI,0.08616176017093873
2011,PIT,0.029830316449560284
2012,PIT,-3.595822480942987e-4
2013,PIT,0.005825323647252684
2014,PIT,0.06931465955232877
2015,PIT,0.017999975125667887
2016,PIT,0.048789555069441354
2017,PIT,0.0484743310187512
2018,PIT,0.04074459397652558
2019,PIT,-0.1333635472810595
2020,PIT,0.005436447354824703
2021,PIT,-0.06184355098309594
2022,PIT,-0.017122561541503257
2023,PIT,-0.07734115910126062
